CPU Temperature,CPU Utilization,Disk Storage,Memory Usage,Fault
51.32,79.02,78.38,75.17,No
77.22,80.73,85.25,80,Yes
78.49,78.35,80.13,81.72,Yes
34.47,79.75,83.93,77.13,No
62.94,76.04,77.82,76.85,Yes
41.16,80.89,77.08,85.47,Yes
78.23,81.69,85.14,75.88,Yes
40.45,85.17,75.15,80.81,Yes
34.44,81.53,77.47,85.02,Yes
30.74,80.74,82.83,85.14,Yes
60.01,83.33,79.14,80.26,Yes
68.33,79.08,78.55,77.48,Yes
52.66,80,78.55,77.48,No
52.66,80.22,78.55,77.48,No
52.66,80.44,78.55,77.48,No
52.66,80.66,78.55,77.48,No
52.66,80.88,78.55,77.48,No
52.66,81,78.55,77.48,No
52.66,81.22,78.55,77.48,No
52.66,81.44,78.55,77.48,No
52.66,81.66,78.55,77.48,No
52.66,81.88,78.55,77.48,No
52.66,82,78.55,77.48,No
52.66,82.22,78.55,77.48,No
52.66,82.44,78.55,77.48,No
52.66,82.66,78.55,77.48,No
52.66,82.88,78.55,77.48,No
52.66,83,78.55,77.48,No
52.66,83.22,78.55,77.48,No
52.66,83.44,78.55,77.48,No
52.66,83.66,78.55,77.48,No
52.66,83.88,78.55,77.48,No
52.66,84,78.55,77.48,No
52.66,84.22,78.55,77.48,No
52.66,84.44,78.55,77.48,No
52.66,84.66,78.55,77.48,No
52.66,84.88,78.55,77.48,No
52.66,85,78.55,77.48,Yes
52.66,85.22,78.55,77.48,Yes
52.66,85.44,78.55,77.48,Yes
52.66,85.66,78.55,77.48,Yes
52.66,85.88,78.55,77.48,Yes
52.66,86,78.55,77.48,Yes
52.66,86.22,78.55,77.48,Yes
52.66,86.44,78.55,77.48,Yes
52.66,86.66,78.55,77.48,Yes
52.66,86.88,78.55,77.48,Yes
52.66,87,78.55,77.48,Yes
52.66,87.22,78.55,77.48,Yes
52.66,87.44,78.55,77.48,Yes
52.66,87.66,78.55,77.48,Yes
52.66,87.88,78.55,77.48,Yes
52.66,88,78.55,77.48,Yes
52.66,88.22,78.55,77.48,Yes
52.66,88.44,78.55,77.48,Yes
52.66,88.66,78.55,77.48,Yes
52.66,88.88,78.55,77.48,Yes
52.66,89,78.55,77.48,Yes
52.66,89.22,78.55,77.48,Yes
52.66,89.44,78.55,77.48,Yes
52.66,89.66,78.55,77.48,Yes
52.66,89.88,78.55,77.48,Yes
67.84,84.44,85.61,79.46,Yes
26.46,77.55,77.99,82.95,No
69.15,76.84,77.88,80.63,Yes
24.28,84.05,82.32,85.11,Yes
35,79.03,76.65,78.77,No
60.08,79.21,80.86,83.79,Yes
47.03,81.39,82.77,82.4,No
43.85,85.19,77.29,78.77,Yes
67.36,75.29,83.7,84.91,Yes
38.22,81.02,78.46,82.36,No
38.17,83.34,83.57,80.7,No
55.2,83.81,78.5,75.56,No
39.13,76.62,81.33,80.95,No
65.54,83.73,85.06,76.89,Yes
53.34,76.52,81.45,80.63,No
22.54,76.87,75.85,78.69,No
66.12,81.03,81.56,85.1,Yes
22.63,79.08,83.94,81.74,No
77.73,85.67,83.21,76.36,Yes
69.16,84.47,85.6,76.57,Yes
52.97,75.43,75.46,76.7,No
80.21,77.27,81.65,75.66,Yes
29.13,76.27,76.05,85.46,Yes
64.33,76.97,84.47,83.57,Yes
69.86,82.28,75.43,85.13,Yes
37.48,78.19,77.36,81.51,No
72.79,84.34,83.78,84.85,Yes
62.67,79.57,81.65,84,Yes
64.13,76.97,76.82,84.25,Yes
77.02,79.7,84.9,85.73,Yes
42.47,76.77,79.14,85.03,Yes
40.25,85.77,81.16,82.53,Yes
35.44,78.49,76.26,82.79,No
38.79,84.63,80.89,78.26,No
72.23,75.76,76.61,84.02,Yes
56.06,82.27,83.2,79.9,No
33.79,77.97,75.28,75.22,No
49.66,78.99,82.53,75.27,No
29.42,79.77,81.15,82.56,No
76.33,80.8,85.75,78.07,Yes
72.05,85.39,85.68,78.62,Yes
38.13,85.77,85.51,75.21,Yes
36.34,83.47,85.59,78.02,Yes
41.13,85.35,81.14,76.6,Yes
44.46,80.24,76.16,85.03,Yes
55.49,79.96,76.57,85.82,Yes
37.17,81.31,77.88,75.53,No
20.85,77.31,75,76.54,No
47.56,80.3,85.7,77.74,Yes
31.21,78.23,82.24,84.35,No
26.54,82.08,80,77.84,No
26.54,82.08,80.22,77.84,No
26.54,82.08,80.44,77.84,No
26.54,82.08,80.66,77.84,No
26.54,82.08,80.88,77.84,No
26.54,82.08,81,77.84,No
26.54,82.08,81.22,77.84,No
26.54,82.08,81.44,77.84,No
26.54,82.08,81.66,77.84,No
26.54,82.08,81.88,77.84,No
26.54,82.08,82,77.84,No
26.54,82.08,82.22,77.84,No
26.54,82.08,82.44,77.84,No
26.54,82.08,82.66,77.84,No
26.54,82.08,82.88,77.84,No
26.54,82.08,83,77.84,No
26.54,82.08,83.22,77.84,No
26.54,82.08,83.44,77.84,No
26.54,82.08,83.66,77.84,No
26.54,82.08,83.88,77.84,No
26.54,82.08,84,77.84,No
26.54,82.08,84.22,77.84,No
26.54,82.08,84.44,77.84,No
26.54,82.08,84.66,77.84,No
26.54,82.08,84.88,77.84,No
26.54,82.08,85,77.84,Yes
26.54,82.08,85.22,77.84,Yes
26.54,82.08,85.44,77.84,Yes
26.54,82.08,85.66,77.84,Yes
26.54,82.08,85.88,77.84,Yes
26.54,82.08,86,77.84,Yes
26.54,82.08,86.22,77.84,Yes
26.54,82.08,86.44,77.84,Yes
26.54,82.08,86.66,77.84,Yes
26.54,82.08,86.88,77.84,Yes
26.54,82.08,87,77.84,Yes
26.54,82.08,87.22,77.84,Yes
26.54,82.08,87.44,77.84,Yes
26.54,82.08,87.66,77.84,Yes
26.54,82.08,87.88,77.84,Yes
26.54,82.08,88,77.84,Yes
26.54,82.08,88.22,77.84,Yes
26.54,82.08,88.44,77.84,Yes
26.54,82.08,88.66,77.84,Yes
26.54,82.08,88.88,77.84,Yes
26.54,82.08,89,77.84,Yes
26.54,82.08,89.22,77.84,Yes
26.54,82.08,89.44,77.84,Yes
26.54,82.08,89.66,77.84,Yes
26.54,82.08,89.88,77.84,Yes
61.83,77.15,80.7,78.17,Yes
77.51,84.75,82.05,75.35,Yes
51.78,76.14,79.61,82.66,No
47.17,76.94,83.08,84.17,No
48.69,83.58,83.74,78.69,No
52.54,78.17,85.66,85.87,Yes
59.43,77.22,85.45,77.33,Yes
68.26,75.44,84.73,78.43,Yes
26.37,78.17,75.32,81.49,No
73.3,75.64,78.42,85.45,Yes
59.29,85.06,76.51,77.52,Yes
22.44,85.14,82.78,78.52,Yes
65.41,78.7,75.97,78.53,Yes
47.07,80.95,78.21,78.88,No
47.39,83.1,82.31,79.31,No
27.91,81.93,85.49,79.98,Yes
36.31,84.78,80.56,83,No
76.03,78.93,77.41,84.06,Yes
44.91,76.6,75.11,75.96,No
58.47,80.83,83.26,75.95,No
75.72,77.33,84.72,83.3,Yes
40.32,85.05,76.7,78.64,Yes
50.75,80.13,77.25,77.26,No
53.85,80.74,75.99,75.32,No
32.96,83.32,76.54,85.15,Yes
60.29,85.86,85.36,80.06,Yes
26.66,85.11,82.61,76.73,Yes
70.28,78.83,80.97,81.1,Yes
62.44,80.47,76.12,82.18,Yes
38.06,84.52,82.99,78.62,No
67.53,78.92,83.67,82.01,Yes
74.87,82.72,82.57,78.41,Yes
74.46,77.22,85.49,81.6,Yes
78.28,81.2,79.74,81.78,Yes
55.43,77.15,77.56,82.16,No
24.25,82.33,83.54,81.64,No
26.98,76.67,75.22,80.42,No
49.31,81.6,82.89,77.56,No
47.64,75.51,78.75,78.18,No
74.97,85.58,76.13,81.34,Yes
51.7,83.71,79.52,85.68,Yes
23.44,84.26,85.01,76.26,Yes
26.41,80.72,77.78,83.32,No
41.17,80.62,81.75,83.19,No
79.06,84.16,75.04,85.23,Yes
40.68,85.08,79.39,82.11,Yes
77.88,83.16,83.63,76.73,Yes
21.01,84.02,77.52,79.72,No
29.67,78.18,78.05,84.6,No
80.45,82.58,75.15,77.36,Yes
54.59,75.45,79.03,78.22,No
54.59,75.45,79.03,78.44,No
54.59,75.45,79.03,78.66,No
54.59,75.45,79.03,78.88,No
54.59,75.45,79.03,79,No
54.59,75.45,79.03,79.22,No
54.59,75.45,79.03,79.44,No
54.59,75.45,79.03,79.66,No
54.59,75.45,79.03,79.88,No
54.59,75.45,79.03,80,No
54.59,75.45,79.03,80.22,No
54.59,75.45,79.03,80.44,No
54.59,75.45,79.03,80.66,No
54.59,75.45,79.03,80.88,No
54.59,75.45,79.03,81,No
54.59,75.45,79.03,81.22,No
54.59,75.45,79.03,81.44,No
54.59,75.45,79.03,81.66,No
54.59,75.45,79.03,81.88,No
54.59,75.45,79.03,82,No
54.59,75.45,79.03,82.22,No
54.59,75.45,79.03,82.44,No
54.59,75.45,79.03,82.66,No
54.59,75.45,79.03,82.88,No
54.59,75.45,79.03,83,No
54.59,75.45,79.03,85,Yes
54.59,75.45,79.03,85.22,Yes
54.59,75.45,79.03,85.44,Yes
54.59,75.45,79.03,85.66,Yes
54.59,75.45,79.03,85.88,Yes
54.59,75.45,79.03,86,Yes
54.59,75.45,79.03,86.22,Yes
54.59,75.45,79.03,86.44,Yes
54.59,75.45,79.03,86.66,Yes
54.59,75.45,79.03,86.88,Yes
54.59,75.45,79.03,89,Yes
54.59,75.45,79.03,89.22,Yes
54.59,75.45,79.03,89.44,Yes
54.59,75.45,79.03,89.66,Yes
54.59,75.45,79.03,89.88,Yes
54.59,75.45,79.03,90,Yes
54.59,75.45,79.03,90.22,Yes
54.59,75.45,79.03,90.44,Yes
54.59,75.45,79.03,90.66,Yes
54.59,75.45,79.03,90.88,Yes
54.59,75.45,79.03,91,Yes
54.59,75.45,79.03,91.22,Yes
54.59,75.45,79.03,91.44,Yes
54.59,75.45,79.03,91.66,Yes
54.59,75.45,79.03,91.88,Yes
23.24,81.3,80.45,85.98,Yes
37.32,79.22,83.68,84.58,No
59.25,78.67,77.25,76.97,No
20.33,82.49,78.29,80.4,No
53.71,78.15,83.48,83.61,No
43.43,81.16,85.63,85.47,Yes
79.89,76.34,81.88,85.2,Yes
46.91,75.39,75.12,82,No
54.52,85.96,83.45,82.3,Yes
37.5,83.36,81.92,85.61,Yes
42.91,79.98,81.28,79.27,No
25.61,76.45,76.62,76.03,No
34.35,76.1,80.42,76.82,No
22.38,75.78,85.19,84.46,Yes
50.62,76.99,77.1,85.44,Yes
21.63,77.83,76,81.45,No
62.68,80.45,82.75,85.34,Yes
28.86,84.76,79.56,81.83,No
59.81,78.52,82.56,81.36,No
31.74,77.78,85.46,82.78,Yes
20.88,78.06,84.83,84.77,No
65.79,82.52,77.62,81.13,Yes
40.41,78.45,79.02,77.04,No
56.12,82.37,76.64,77.74,No
23.6,77.3,75.48,79.07,No
46.61,77.13,83.19,78.21,No
26.67,78.54,83.17,78.33,No
39.72,81.47,82.46,80.41,No
76.91,79.96,82.79,85.93,Yes
27.81,80.21,75.2,85.63,Yes
30.46,75.36,77.31,81.65,No
79.87,81.17,80.94,85.31,Yes
40.76,75.79,84.67,80.36,No
57.75,79.13,84.27,76.59,No
30.02,80.38,83.13,83.35,No
76.5,77.42,84.44,75.16,Yes
48.24,84.04,76.72,76.65,No
32.41,84.86,81.48,85.25,Yes
64.75,79.79,76.55,76.17,Yes
75.6,75.19,76.81,77.56,Yes
70.06,82.49,83,79.31,Yes
76.61,85.29,80.82,83.71,Yes
39.62,82.53,79.16,82.45,No
55.18,81.71,79.03,78.23,No
57.88,82.35,81.95,84.34,No
78.05,85.35,75.82,81.37,Yes
62.51,75.08,79.7,75.39,Yes
38.61,79.35,84.72,82.26,No
25.9,79.71,84.29,81.38,No
51.8,85.48,79.87,78.01,Yes
64.15,75.39,77.07,80.03,Yes
